AREA|CODE
Los Angeles-Long Beach-Anaheim, CA|436
Louisville, KY|920
Louisville-Jefferson County, KY|392
Lubbock, TX|393
Ludington, MI|704
Lufkin, TX|764
Lumberton, NC|467
Lynchburg, VA|126
Macomb, IL|869
Macon, GA|394
Macon-Bibb County, GA|1198
Madera, CA|170
Madison, IN|692
Madison, WI|74
Madisonville, KY|784
Magnolia, AR|879
Malone, NY|779
Malvern, AR|321
Manchester, NH|97
Manchester, TN|1065
Manchester-Nashua, NH|1180
Manhattan, KS|232
Manitowoc, WI|522
Mankato, MN|228
Mankato-North Mankato, MN|1234
Mansfield, OH|196
Marietta, OH|561
Marinette, WI|773
Marion, IN|541
Marion, NC|625
Marion, OH|549
Marquette, MI|772
Marshall, MN|904
Marshall, MO|1020
Marshall, TX|259
Marshalltown, IA|647
Martin, TN|681
Martinsburg, WV|952
Martinsville, VA|545
Maryville, MO|856
Mason City, IA|284
Mattoon, IL|1082
Mayfield, KY|836
Maysville, KY|854
Mc Minnville, TN|1027
McAlester, OK|298
McAllen, TX|62
McAllen-Edinburg-Mission, TX|1150
McComb, MS|586
McMinnville, TN|309
McPherson, KS|847
Meadville, PA|236
Mechanicsville, MD|1023
Medford, OR|395
Melbourne, FL|404
Memphis, TN|37
Menomonie, WI|629
Merced, CA|396
Meridian, MS|757
Merrill, WI|703
Mexico, MO|714
Miami, FL|917
Miami, OK|820
Miami-Fort Lauderdale, FL|8
Miami-Fort Lauderdale-West Palm Beach, FL|1111
Michigan City, IN|209
Michigan City-La Porte, IN|1229
Middlesborough, KY|875
Midland, MI|517
Midland, TX|751
Milford, IA|998
Milledgeville, GA|582
Milwaukee, WI|35
Milwaukee-Waukesha-West Allis, WI|1137
Mineral Wells, TX|705
Minneapolis, MN|918
Minneapolis-St Paul, MN|16
Minneapolis-St. Paul-Bloomington, MN|1119
Minot, ND|771
Missoula, MT|484
Mitchell, SD|1102
Moberly, MO|336
Mobile, AL|397
Modesto, CA|83
Monroe Township, MI|959
Monroe Township, PA|1096
Monroe, LA|441
Monroe, MI|168
Montgomery, AL|398
Montrose, CO|644
Morehead City, NC|550
Morgan City, LA|585
Morganton, NC|951
Morgantown, WV|190
Morristown, TN|207
Moscow, ID|901
Moses Lake, WA|763
Moultrie, GA|862
Mount Airy, NC|769
Mount Pleasant, MI|539
Mount Pleasant, TX|324
Mount Sterling, KY|301
Mount Vernon, IL|798
Mount Vernon, OH|565
Mount Vernon, WA|202
Mount Vernon-Anacortes, WA|1226
Mountain Home, AR|641
Mountain Home, ID|335
Mountain View, MO|992
Muncie, IN|477
Murray, KY|666
Muscatine, IA|898
Muskegon Township, MI|1000
Muskegon, MI|399
Muskogee, OK|770
Myrtle Beach, SC|100
Myrtle Beach-Conway-North Myrtle Beach, SC|1182
Nacogdoches, TX|554
Napa, CA|182
Naples, FL|109
Naples-Immokalee-Marco Island, FL|1187
Nashville, TN|33
Nashville-Davidson--Murfreesboro--Franklin, TN|1135
Natchez, MS|826
Natchitoches, LA|651
New Bern, NC|194
New Castle, IN|291
New Castle, PA|506
New Haven, CT|54
New Haven-Milford, CT|1146
New London, CT|118
New Orleans, LA|40
New Orleans-Metairie, LA|1139
New Philadelphia, OH|234
New Philadelphia-Dover, OH|1237
New Ulm, MN|896
New York, NY|2
New York-Newark-Jersey City, NY|1105
Newberry, SC|664
Newport, NC|1079
Newport, OR|297
Newport, TN|678
Newton, IA|669
Niles, MI|400
Niles-Benton Harbor, MI|1247
Nogales, AZ|292
Norfolk, NE|781
North Platte, NE|663
North Port-Sarasota-Bradenton, FL|64
North Vernon, IN|331
North Wilkesboro, NC|543
Norwalk, OH|573
Norwich, CT|927
Norwich-New London, CT|1191
Oak Harbor, WA|527
Ocala, FL|107
Ocean City, MD|1044
Ocean City, NJ|401
Ocean Shores, WA|1076
Odessa, TX|752
Ogden, UT|76
Ogden-Clearfield, UT|1157
Ogdensburg, NY|208
Ogdensburg-Massena, NY|1228
Oil City, PA|812
Okeechobee, FL|308
Oklahoma City, OK|402
Olean, NY|525
Olympia, WA|403
Olympia-Tumwater, WA|1195
Omaha, NE|53
Omaha-Council Bluffs, NE|1145
Oneonta, NY|265
Ontario, OR|279
Opelousas, LA|240
Orangeburg, SC|504
Oregon, IL|1034
Orlando, FL|25
Orlando-Kissimmee-Sanford, FL|1128
